Listing...
kpartx-boot/noble-updates,noble-updates 0.9.4-5ubuntu8.1 all [upgradable from: 0.9.4-5ubuntu8]
kpartx/noble-updates 0.9.4-5ubuntu8.1 amd64 [upgradable from: 0.9.4-5ubuntu8]
language-pack-en-base/noble-updates,noble-updates 1:24.04+20250724 all [upgradable from: 1:24.04+20250130]
language-pack-en/noble-updates,noble-updates 1:24.04+20250724 all [upgradable from: 1:24.04+20250130]
language-pack-gnome-en-base/noble-updates,noble-updates 1:24.04+20250724 all [upgradable from: 1:24.04+20250130]
language-pack-gnome-en/noble-updates,noble-updates 1:24.04+20250724 all [upgradable from: 1:24.04+20250130]
libapparmor1/noble-updates 4.0.1really4.0.1-0ubuntu0.24.04.5 amd64 [upgradable from: 4.0.1really4.0.1-0ubuntu0.24.04.4]
libapparmor1/noble-updates 4.0.1really4.0.1-0ubuntu0.24.04.5 i386 [upgradable from: 4.0.1really4.0.1-0ubuntu0.24.04.4]
libasan8/noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libasound2-data/noble-security,noble-security 1.2.11-1ubuntu0.2 all [upgradable from: 1.2.11-1ubuntu0.1]
libasound2t64/noble-security 1.2.11-1ubuntu0.2 amd64 [upgradable from: 1.2.11-1ubuntu0.1]
libasound2t64/noble-security 1.2.11-1ubuntu0.2 i386 [upgradable from: 1.2.11-1ubuntu0.1]
libatomic1/noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libatomic1/noble-security 14.2.0-4ubuntu2~24.04.1 i386 [upgradable from: 14.2.0-4ubuntu2~24.04]
libatopology2t64/noble-security 1.2.11-1ubuntu0.2 amd64 [upgradable from: 1.2.11-1ubuntu0.1]
libavahi-client3/noble-updates,noble-security 0.8-13ubuntu6.1 amd64 [upgradable from: 0.8-13ubuntu6]
libavahi-client3/noble-updates,noble-security 0.8-13ubuntu6.1 i386 [upgradable from: 0.8-13ubuntu6]
libavahi-common-data/noble-updates,noble-security 0.8-13ubuntu6.1 amd64 [upgradable from: 0.8-13ubuntu6]
libavahi-common-data/noble-updates,noble-security 0.8-13ubuntu6.1 i386 [upgradable from: 0.8-13ubuntu6]
libavahi-common3/noble-updates,noble-security 0.8-13ubuntu6.1 amd64 [upgradable from: 0.8-13ubuntu6]
libavahi-common3/noble-updates,noble-security 0.8-13ubuntu6.1 i386 [upgradable from: 0.8-13ubuntu6]
libavahi-core7/noble-updates,noble-security 0.8-13ubuntu6.1 amd64 [upgradable from: 0.8-13ubuntu6]
libavahi-glib1/noble-updates,noble-security 0.8-13ubuntu6.1 amd64 [upgradable from: 0.8-13ubuntu6]
libbinutils/noble-updates,noble-security 2.42-4ubuntu2.8 amd64 [upgradable from: 2.42-4ubuntu2.5]
libblkid1/noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.3]
libblkid1/noble-security 2.39.3-9ubuntu6.5 i386 [upgradable from: 2.39.3-9ubuntu6.3]
libbluetooth3/noble-updates 5.72-0ubuntu5.5 amd64 [upgradable from: 5.72-0ubuntu5.3]
libc-bin/noble-security 2.39-0ubuntu8.7 amd64 [upgradable from: 2.39-0ubuntu8.4]
libc-dev-bin/noble-security 2.39-0ubuntu8.7 amd64 [upgradable from: 2.39-0ubuntu8.4]
libc6-dbg/noble-security 2.39-0ubuntu8.7 amd64 [upgradable from: 2.39-0ubuntu8.4]
libc6-dev/noble-security 2.39-0ubuntu8.7 amd64 [upgradable from: 2.39-0ubuntu8.4]
libc6/noble-security 2.39-0ubuntu8.7 amd64 [upgradable from: 2.39-0ubuntu8.4]
libc6/noble-security 2.39-0ubuntu8.7 i386 [upgradable from: 2.39-0ubuntu8.4]
libcaca0/noble-updates,noble-security 0.99.beta20-4ubuntu0.1 amd64 [upgradable from: 0.99.beta20-4build2]
libcamel-1.2-64t64/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
libcc1-0/noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libctf-nobfd0/noble-updates,noble-security 2.42-4ubuntu2.8 amd64 [upgradable from: 2.42-4ubuntu2.5]
libctf0/noble-updates,noble-security 2.42-4ubuntu2.8 amd64 [upgradable from: 2.42-4ubuntu2.5]
libcups2t64/noble-updates,noble-security 2.4.7-1.2ubuntu7.9 amd64 [upgradable from: 2.4.7-1.2ubuntu7.3]
libcups2t64/noble-updates,noble-security 2.4.7-1.2ubuntu7.9 i386 [upgradable from: 2.4.7-1.2ubuntu7.3]
libcupsfilters2-common/noble-updates,noble-updates,noble-security,noble-security 2.0.0-0ubuntu7.2 all [upgradable from: 2.0.0-0ubuntu7.1]
libcupsfilters2t64/noble-updates,noble-security 2.0.0-0ubuntu7.2 amd64 [upgradable from: 2.0.0-0ubuntu7.1]
libcupsimage2t64/noble-updates,noble-security 2.4.7-1.2ubuntu7.9 amd64 [upgradable from: 2.4.7-1.2ubuntu7.3]
libcurl3t64-gnutls/noble-security 8.5.0-2ubuntu10.8 amd64 [upgradable from: 8.5.0-2ubuntu10.6]
libcurl3t64-gnutls/noble-security 8.5.0-2ubuntu10.8 i386 [upgradable from: 8.5.0-2ubuntu10.6]
libcurl4-openssl-dev/noble-security 8.5.0-2ubuntu10.8 amd64 [upgradable from: 8.5.0-2ubuntu10.6]
libcurl4t64/noble-security 8.5.0-2ubuntu10.8 amd64 [upgradable from: 8.5.0-2ubuntu10.6]
libcurl4t64/noble-security 8.5.0-2ubuntu10.8 i386 [upgradable from: 8.5.0-2ubuntu10.6]
libdconf1/noble-updates 0.40.0-4ubuntu0.1 amd64 [upgradable from: 0.40.0-4build2]
libdjvulibre-text/noble-security,noble-security 3.5.28-2ubuntu0.24.04.2 all [upgradable from: 3.5.28-2ubuntu0.24.04.1]
libdjvulibre21/noble-security 3.5.28-2ubuntu0.24.04.2 amd64 [upgradable from: 3.5.28-2ubuntu0.24.04.1]
libdpkg-perl/noble-updates,noble-updates,noble-security,noble-security 1.22.6ubuntu6.5 all [upgradable from: 1.22.6ubuntu6.1]
libdrm-amdgpu1/noble-updates 2.4.122-1~ubuntu0.24.04.2 amd64 [upgradable from: 2.4.122-1~ubuntu0.24.04.1]
libdrm-amdgpu1/noble-updates 2.4.122-1~ubuntu0.24.04.2 i386 [upgradable from: 2.4.122-1~ubuntu0.24.04.1]
libdrm-common/noble-updates,noble-updates 2.4.122-1~ubuntu0.24.04.2 all [upgradable from: 2.4.122-1~ubuntu0.24.04.1]
libdrm-intel1/noble-updates 2.4.122-1~ubuntu0.24.04.2 amd64 [upgradable from: 2.4.122-1~ubuntu0.24.04.1]
libdrm-intel1/noble-updates 2.4.122-1~ubuntu0.24.04.2 i386 [upgradable from: 2.4.122-1~ubuntu0.24.04.1]
libdrm-nouveau2/noble-updates 2.4.122-1~ubuntu0.24.04.2 amd64 [upgradable from: 2.4.122-1~ubuntu0.24.04.1]
libdrm-radeon1/noble-updates 2.4.122-1~ubuntu0.24.04.2 amd64 [upgradable from: 2.4.122-1~ubuntu0.24.04.1]
libdrm-radeon1/noble-updates 2.4.122-1~ubuntu0.24.04.2 i386 [upgradable from: 2.4.122-1~ubuntu0.24.04.1]
libdrm2/noble-updates 2.4.122-1~ubuntu0.24.04.2 amd64 [upgradable from: 2.4.122-1~ubuntu0.24.04.1]
libdrm2/noble-updates 2.4.122-1~ubuntu0.24.04.2 i386 [upgradable from: 2.4.122-1~ubuntu0.24.04.1]
libebackend-1.2-11t64/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
libebook-1.2-21t64/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
libebook-contacts-1.2-4t64/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
libecal-2.0-3/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
libedata-book-1.2-27t64/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
libedata-cal-2.0-2t64/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
libedataserver-1.2-27t64/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
libedataserverui-1.2-4t64/noble-security 3.52.3-0ubuntu1.2 amd64 [upgradable from: 3.52.3-0ubuntu1]
libegl-mesa0/noble-updates 25.0.7-0ubuntu0.24.04.2 amd64 [upgradable from: 24.2.8-1ubuntu1~24.04.1]
libegl-mesa0/noble-updates 25.0.7-0ubuntu0.24.04.2 i386 [upgradable from: 24.2.8-1ubuntu1~24.04.1]
libexiv2-27/noble-security 0.27.6-1ubuntu0.3 amd64 [upgradable from: 0.27.6-1build1]
libfdisk1/noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.3]
libfreetype6/noble-security 2.13.2+dfsg-1ubuntu0.1 amd64 [upgradable from: 2.13.2+dfsg-1build3]
libfreetype6/noble-security 2.13.2+dfsg-1ubuntu0.1 i386 [upgradable from: 2.13.2+dfsg-1build3]
libfwupd2/noble-updates 1.9.31-0ubuntu1~24.04.1 amd64 [upgradable from: 1.9.30-0ubuntu1~24.04.1]
libgbm1/noble-updates 25.0.7-0ubuntu0.24.04.2 amd64 [upgradable from: 24.2.8-1ubuntu1~24.04.1]
libgbm1/noble-updates 25.0.7-0ubuntu0.24.04.2 i386 [upgradable from: 24.2.8-1ubuntu1~24.04.1]
libgcc-13-dev/noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
libgcc-s1/noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libgcc-s1/noble-security 14.2.0-4ubuntu2~24.04.1 i386 [upgradable from: 14.2.0-4ubuntu2~24.04]
libgdk-pixbuf-2.0-0/noble-updates,noble-security 2.42.10+dfsg-3ubuntu3.2 amd64 [upgradable from: 2.42.10+dfsg-3ubuntu3.1]
libgdk-pixbuf-2.0-0/noble-updates,noble-security 2.42.10+dfsg-3ubuntu3.2 i386 [upgradable from: 2.42.10+dfsg-3ubuntu3.1]
libgdk-pixbuf2.0-bin/noble-updates,noble-security 2.42.10+dfsg-3ubuntu3.2 amd64 [upgradable from: 2.42.10+dfsg-3ubuntu3.1]
libgdk-pixbuf2.0-common/noble-updates,noble-updates,noble-security,noble-security 2.42.10+dfsg-3ubuntu3.2 all [upgradable from: 2.42.10+dfsg-3ubuntu3.1]
libgfortran5/noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libgl1-mesa-dri/noble-updates 25.0.7-0ubuntu0.24.04.2 amd64 [upgradable from: 24.2.8-1ubuntu1~24.04.1]
libgl1-mesa-dri/noble-updates 25.0.7-0ubuntu0.24.04.2 i386 [upgradable from: 24.2.8-1ubuntu1~24.04.1]
libglib2.0-0t64/noble-security 2.80.0-6ubuntu3.8 amd64 [upgradable from: 2.80.0-6ubuntu3.4]
libglib2.0-0t64/noble-security 2.80.0-6ubuntu3.8 i386 [upgradable from: 2.80.0-6ubuntu3.4]
libglib2.0-bin/noble-security 2.80.0-6ubuntu3.8 amd64 [upgradable from: 2.80.0-6ubuntu3.4]
libglib2.0-data/noble-security,noble-security 2.80.0-6ubuntu3.8 all [upgradable from: 2.80.0-6ubuntu3.4]
libglx-mesa0/noble-updates 25.0.7-0ubuntu0.24.04.2 amd64 [upgradable from: 24.2.8-1ubuntu1~24.04.1]
libglx-mesa0/noble-updates 25.0.7-0ubuntu0.24.04.2 i386 [upgradable from: 24.2.8-1ubuntu1~24.04.1]
